Start,End,Name,Incident,Date
1/1/1995,1/1/1995,NA,"Wrote The Physics of Start Trek, popularizing science",1/1/1995
1/1/2007,1/1/2007,"Nora, undergraduate, Case Western Reserve","While she was trying to interview him for a student publication, he closed the door to his office, answered her questions with jokes, and asked her out to dinner",1/1/2007
1/1/2009,1/1/2009,Unknown,"A sexual harassment complaint was filed with the Peirmeter Institute, where he was a speaker for the Quantum to Cosmos Festival",1/1/2009
1/1/2008,1/1/2008,NA,"Launched the Origins Project, aimed to engage the public with science events",1/1/2008
4/1/2011,4/1/2011,NA,"Publicly defended Jeffrey Epstein, a financier and major donor of the Origins Project who was convicted of soliciting prostitution from an underage girl",4/1/2011
1/1/2006,1/1/2006,Melody Hensley,"Krauss asked her to come up to his hotel room, pushed her onto the bed, foribly kissed her and tried to pull down the crotch of her pants while taking out a condom",1/1/2006
6/1/2011,6/1/2011,"A, undergraduate","When hanging out at a bar after the American Atheists Convention, Krauss ran his hand up her leg under the table repeatedly",6/1/2011
1/1/2011,1/1/2011,Unknown,Krauss propositioned a woman to join him and a female companion for sex in their cabin during a cruise hosted by the Center for Inquiery,1/1/2011
11/1/2016,11/1/2016,Unknown,"At the Australian skeptics national convention, Krauss grabs a woman's breast when she asks for a selfie with him",11/1/2016
7/1/2017,7/1/2017,"Melanie Thomson, microbiologist fro Melbourne","Files complaints to Arizona State University, Australian National Unviersity in Canberra, and New College of the Humanities about incident at the Australian national convention",7/1/2017
11/3/2017,11/3/2017,NA,Krauss resigns from his position at the Australian National University,11/3/2017
10/1/2015,10/1/2015,"Undergraduate, 19, Arizona State University","Krauss looked her from head to toe, smirked, and told her he liked the short jumper she was wearing",10/1/2015
4/1/2016,4/1/2016,Origins Project staff,Krauss told her that she should dress up like a hula girl to advertize an event,4/1/2016
6/1/2016,6/1/2016,Unknown,Krauss said he would pay for the woman's birth control so she doesn't get pregnant and inconvenience him ,6/1/2016
3/1/2017,3/1/2017,NA,Arizona State University puts Krauss on paid leave while it investigates allegations of sexual harassment,3/1/2017
3/1/2017,3/1/2017,NA,Krauss resigns from the chair of the Bulletin of the Atomic Scientists,3/1/2017
3/1/2017,3/1/2017,NA,The Center for Inquiry suspends its association with him,3/1/2017
10/20/2018,10/20/2018,NA,Krauss announces retirement from Arizona State University,10/20/2018
